Overall rank,Country,Happiness,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption,Year,GDP_per_capita_const_LCU,Gross_income_const_LCU,Govt_educ_pct_GDP,Gini_index
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019,13815.4196158263,27902577595.7073,4.43584012985229,34.5
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,18548.5681642447,25090444950.6767,5.26041984558105,30.8
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019,318795.113894486,878815353811.381,5.16364002227783,
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019,406406.474168335,517937268092.055,4.54195022583008,
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019,4362884.76482433,550472989530760.0,3.15533995628357,33.0
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019,22177.6789227841,198715713946.5,5.93245983123779,48.2
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019,769667.32972211,17364499709835.6,3.35382127761841,28.0
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019,4220.31561019614,49047321078.5291,8.09103965759277,41.6
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019,4213339.46567755,41005016366975.8,4.22488021850586,30.0
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019,31984055.6003032,205816147445052.0,3.48983025550842,45.7
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019,16844.8918610055,556893185231.023,3.822429895401,41.5
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019,19440.2315009834,200999989194.864,4.63002014160156,32.8
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019,161109.008505205,37261108249438.1,2.21491765975952,
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019,174927.178944233,19219335340370.8,3.40748643875122,
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019,885529.877678725,6071512323754.41,3.61647009849548,34.5
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019,64710.6632175072,169137280314.334,6.22576999664307,26.0
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019,13160.777685849,55316926200.7852,,
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019,6480.50087777399,4285286263.64197,,35.7
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019,760.040675905874,4035670381.35256,5.48427629470825,
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019,14305.8106948162,57580059624.0675,3.92007994651794,28.9
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,2019,241105.04227861,2623523939979.79,4.04276895523071,41.9
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,2019,9846.10015803162,33286880307.7176,4.04449987411499,
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2019,42581.5365850537,1428200830075.63,3.97953963279724,
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,2019,13173.2683578495,124814734926.744,4.97948980331421,25.3
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2019,17319.9213511588,184038536710.072,3.58612990379333,33.1
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,2019,8546840.02560844,31409641252848.0,3.65236973762512,
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019,250705.924865504,502794169627.22,,33.5
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019,344148.141380249,,0.358478993177414,
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019,9055.99221569137,,3.12054991722107,
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,2019,189524.568880839,8560799999944.91,5.57536554336548,
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,2019,31844.09375,1206966290694.6,5.00325679779053,
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,2019,3032.49542136829,,3.1764600276947,
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019,10351529.718907,61580048761392.7,2.60026550292969,
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,2019,40181952.6317615,1.06721073011291e+16,0.964399099349976,35.4
