Country,Year,Happiness,GDP_current_usd,GNI_current_usd,Edu_expenditure_pct,Gini_index,Unemployment_rate,Life_expectancy
Burundi,2019,3.775,2576518879.82353,2583934017.97374,5.34668445587158,,,62.18
Zimbabwe,2019,3.663,25717409842.4479,25261574788.7573,,50.3,7.373,61.06
Haiti,2019,3.597,15016090929.5125,15065747025.9284,1.75941300392151,,,64.328
Botswana,2019,3.488,16725908148.5481,16776578168.9193,8.39899635314941,,20.094,67.167
Malawi,2019,3.41,11051865579.8121,10785451582.33,,38.5,,64.995
Rwanda,2019,3.334,10349300380.33,10001278819.8817,3.23868060112,,11.236,66.691
Tanzania,2019,3.231,61026731925.9213,60012994185.1719,3.59683632850647,,,66.007
Afghanistan,2019,3.203,18799444490.1128,19080662010.7479,,,,62.941
Central African Republic,2019,3.083,2221301351.43918,2386023468.72084,1.76792073249817,,,31.53
South Sudan,2019,2.853,,,,,,58.129
